   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.ThrowHostAborted()
   at Microsoft.Extensions.Hosting.HostFactoryResolver.HostingListener.OnNext(KeyValuePair`2 value)
   at System.Diagnostics.DiagnosticListener.Write(String name, Object value)
   at Microsoft.Extensions.Hosting.HostBuilder.ResolveHost(IServiceProvider serviceProvider, DiagnosticListener diagnosticListener)
   at Microsoft.Extensions.Hosting.HostApplicationBuilder.Build()
   at Microsoft.AspNetCore.Builder.WebApplicationBuilder.Build()
   at Program.<Main>$(String[] args) in C:\Users\victo\Desktop\buildone\Program.cs:line 204
2025-10-07 11:14:05.365 +01:00 [INF] Starting BuildOne Asset Management System
2025-10-07 11:14:06.955 +01:00 [INF] Database initialized successfully
2025-10-07 11:14:06.958 +01:00 [INF] BuildOne started successfully
2025-10-07 11:14:15.158 +01:00 [WRN] Failed to determine the https port for redirect.
2025-10-07 11:14:15.863 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 706.1578 ms
2025-10-07 11:14:16.578 +01:00 [INF] HTTP GET /api/notifications responded 200 in 311.0855 ms
2025-10-07 11:14:23.437 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 11:14:23.583 +01:00 [INF] HTTP GET / responded 200 in 179.7149 ms
2025-10-07 11:14:23.761 +01:00 [INF] HTTP GET /api/notifications responded 200 in 17.2636 ms
2025-10-07 11:14:26.171 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 24.4475 ms
2025-10-07 11:14:26.327 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7865 ms
2025-10-07 11:14:33.251 +01:00 [INF] Generated job queue report with 1 jobs
2025-10-07 11:14:33.271 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 48.8826 ms
2025-10-07 11:14:56.376 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 17.6747 ms
2025-10-07 11:14:56.591 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8035 ms
2025-10-07 11:15:14.803 +01:00 [INF] HTTP GET /Imaging/Details responded 200 in 106.9228 ms
2025-10-07 11:15:14.957 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7069 ms
2025-10-07 11:25:34.615 +01:00 [INF] HTTP GET /api/notifications responded 200 in 20.2224 ms
2025-10-07 11:30:15.832 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.4047 ms
2025-10-07 11:39:21.089 +01:00 [INF] HTTP GET /api/notifications responded 200 in 38.8773 ms
2025-10-07 11:39:23.882 +01:00 [INF] HTTP GET /api/notifications responded 200 in 4.3483 ms
2025-10-07 11:39:27.092 +01:00 [INF] HTTP GET /Assets responded 200 in 156.5232 ms
2025-10-07 11:39:27.472 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.3209 ms
2025-10-07 11:39:29.626 +01:00 [INF] HTTP GET /Imaging/Details responded 200 in 35.1055 ms
2025-10-07 11:44:29.909 +01:00 [INF] HTTP GET /api/notifications responded 200 in 77.7452 ms
2025-10-07 11:49:29.825 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7414 ms
2025-10-07 11:59:49.647 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9799 ms
2025-10-07 11:59:49.651 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9438 ms
2025-10-07 12:36:10.867 +01:00 [INF] HTTP GET /api/notifications responded 200 in 906.3622 ms
2025-10-07 12:56:41.239 +01:00 [INF] HTTP GET /api/notifications responded 200 in 9.8479 ms
2025-10-07 12:56:45.285 +01:00 [INF] HTTP GET /api/notifications responded 200 in 4.4265 ms
2025-10-07 12:56:58.201 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0487 ms
2025-10-07 12:57:51.071 +01:00 [INF] HTTP GET /api/notifications responded 200 in 2.9564 ms
2025-10-07 12:58:28.988 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 12:58:29.054 +01:00 [INF] HTTP GET / responded 200 in 67.9052 ms
2025-10-07 12:58:29.480 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.4005 ms
2025-10-07 12:58:47.690 +01:00 [INF] HTTP GET /Departments/Create responded 200 in 97.4475 ms
2025-10-07 12:58:47.925 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.7813 ms
2025-10-07 12:58:49.604 +01:00 [INF] HTTP GET /Departments responded 200 in 120.3806 ms
2025-10-07 12:58:49.794 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9973 ms
2025-10-07 12:59:11.547 +01:00 [INF] Asset Management Dashboard accessed
2025-10-07 12:59:11.611 +01:00 [INF] HTTP GET / responded 200 in 66.6091 ms
2025-10-07 12:59:11.806 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8250 ms
2025-10-07 12:59:13.880 +01:00 [INF] HTTP GET /Imaging/Queue responded 200 in 19.1429 ms
2025-10-07 12:59:14.066 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.0963 ms
2025-10-07 12:59:23.476 +01:00 [INF] HTTP GET /Reports responded 200 in 93.0442 ms
2025-10-07 12:59:23.750 +01:00 [INF] HTTP GET /api/notifications responded 200 in 1.2523 ms
2025-10-07 12:59:34.511 +01:00 [INF] HTTP GET /Reports/Assets responded 200 in 101.0987 ms
2025-10-07 12:59:34.708 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.6986 ms
2025-10-07 12:59:37.497 +01:00 [INF] HTTP GET /Reports/WarrantyAlerts responded 200 in 90.5526 ms
2025-10-07 12:59:37.686 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8032 ms
2025-10-07 12:59:53.155 +01:00 [INF] HTTP GET /Reports/WarrantyAlerts responded 200 in 9.4253 ms
2025-10-07 12:59:53.506 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.9947 ms
2025-10-07 12:59:56.417 +01:00 [INF] HTTP GET /UserManagement responded 200 in 181.3981 ms
2025-10-07 12:59:56.627 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.7097 ms
2025-10-07 12:59:58.546 +01:00 [INF] HTTP GET /RoleManagement responded 200 in 69.7605 ms
2025-10-07 12:59:58.746 +01:00 [INF] HTTP GET /api/notifications responded 200 in 0.8369 ms
2025-10-07 13:00:01.466 +01:00 [INF] HTTP GET /SystemSettings responded 200 in 172.1373 ms
